rtot,ravg,rnorm,rnorm100,len,drawdown,moneydown,maxdrawdown,maxdrawdownperiod,sharperatio,pnl,final_value,total,win_rate,won,lost,won_avg,won_avg_prcnt,lost_avg,lost_avg_prcnt,won_max_prcnt,lost_max_prcnt,ticker
3.1985666914794644,0.0006463056559869599,0.17688253776662322,17.68825377666232,227,13.874637774862887,394648.5,62.102560525675905,1145,0.504002123675177,2349739.27,2449739.2699999996,150,0.72,108,41,32168.614999999987,32.16861499999999,-19392.08902439023,-19.39208902439023,220.7819999999998,-88.37999999999987,AC
5.97267303883563,0.0012608556130115326,0.37401294407357144,37.40129440735714,0,0.0,0.0,34.323160873370036,672,0.4809777293663085,39155358.05,39255358.054000005,222,0.7342342342342343,163,59,277990.07421472395,277.99007421472396,-104356.33971186452,-104.35633971186454,24108.666006000003,-3490.415980000006,ACEN
4.62344924638268,0.00094317610085326,0.2683037495109858,26.83037495109858,0,0.0,0.0,46.333706924864934,584,0.7029705340017797,10084471.45,10184471.449999996,165,0.7878787878787878,130,35,92930.51538461537,92.93051538461538,-57042.73000000001,-57.042730000000006,1353.7770999999993,-363.9135499999999,AEV
2.2140274811992757,0.0005158498325254603,0.13882173007679405,13.882173007679405,2,0.6880726777457574,6341.219999999972,85.18767999081449,1455,0.3467986167403894,815250.38,915250.3800000004,186,0.6989247311827957,130,55,9839.053076923075,9.839053076923076,-8913.24563636364,-8.913245636363639,197.74359000000007,-42.294049999999984,AGI
4.29938927045514,0.000868738991807464,0.24473446486427602,24.4734464864276,211,16.994956753824948,1508053.0500000017,64.44768178529627,1181,0.6443320195463211,7265479.68,7365479.679999995,264,0.7651515151515151,202,62,51215.1273762376,51.215127376237604,-49677.033064516174,-49.67703306451617,847.3313999999986,-1332.018350000002,ALI
3.9771641362100483,0.0008070544107569091,0.22553527961933723,22.55352796193372,204,12.390990193211735,754775.2999999998,63.55526876438969,1357,0.7077538811066493,5236548.22,5336548.22,191,0.774869109947644,148,42,45559.2110135135,45.559211013513504,-23147.79547619048,-23.14779547619048,1519.6597199999997,-361.89879999999977,BDO
3.4490286767397103,0.0010605869239667005,0.30639038776035915,30.639038776035914,2988,28.947661922346786,1282121.6700000009,91.58770033301647,2988,0.2902191199408806,3046981.01,3146981.009999999,234,0.6581196581196581,154,80,80084.85344155846,80.08485344155845,-116076.08025000004,-116.07608025000005,1466.7101999999998,-2258.2544000000007,BLOOM
3.3644838006249853,0.0006799684318158822,0.18690852047386053,18.690852047386052,44,9.534792537552828,304794.0,33.70700106594376,736,0.6539898238396734,2791856.57,2891856.5700000008,165,0.7393939393939394,122,42,27748.643852459016,27.748643852459015,-17436.22333333332,-17.43622333333332,524.3235400000001,-71.59503999999998,BPI
7.1160860467987055,0.0014516699401874145,0.44169690336365186,44.169690336365186,54,2.6302158808575076,3326933.280000001,86.49896069639941,699,0.3461367853523539,123062048.26,123162048.26,220,0.75,165,55,858521.3489696973,858.5213489696972,-338072.2603636363,-338.0722603636363,34403.91086000001,-3326.933280000004,DMC
3.367474769148321,0.0006805729121156671,0.18708933487535748,18.70893348753575,0,0.0,0.0,58.74456663336074,1322,0.5349172273327706,2800518.97,2900518.9699999997,183,0.7213114754098361,132,51,24240.242045454546,24.240242045454547,-7827.313333333337,-7.827313333333337,524.6198800000001,-42.47884,GLO
6.0638603012169305,0.0012312406702978539,0.3637969011916764,36.37969011916764,5,0.5145776991942091,222429.6000000015,63.351300771853175,727,0.9236862732996306,42903229.1,43003229.099999994,217,0.7511520737327189,163,54,292209.5785276073,292.20957852760733,-87535.78148148145,-87.53578148148145,17595.038800000002,-628.5489999999986,ICT
6.117484551160466,0.0012366049224096353,0.36564171691651765,36.564171691651765,223,15.686541983041021,8441509.199999988,47.59632237068707,520,0.7380461088753687,45272194.35,45372194.350000024,239,0.7824267782426778,187,51,333556.37219251343,333.55637219251344,-230244.4598039214,-230.24445980392142,9459.689,-4904.2985999999955,JFC
3.3717854194390875,0.0007002669614619081,0.19299538449786607,19.299538449786606,211,2.675628416437587,80085.15000000037,81.84456919589826,629,0.4410881225790855,2813049.08,2913049.0799999996,210,0.7428571428571429,156,54,29234.38352564102,29.23438352564102,-32361.384259259263,-32.36138425925926,307.9417600000001,-166.37954000000002,JGS
3.6675547042767747,0.0010316609576024682,0.29690228248928635,29.690228248928634,21,8.396938589372242,358930.0,71.29906889900164,1987,0.48842564060902854,3815604.06,3915604.0599999996,186,0.6881720430107527,128,57,73623.88140624999,73.62388140624999,-98032.47140350874,-98.03247140350874,1042.1513200000004,-465.7365800000001,LTG
2.456627718412208,0.0004973937474007306,0.13353744395415248,13.353744395415248,34,9.172728932639352,117810.0,77.20601856499708,2401,0.3688742667642965,1066540.61,1166540.6099999999,195,0.6820512820512821,133,61,10043.333308270678,10.043333308270677,-7441.521639344262,-7.441521639344262,95.71200000000003,-42.13624999999998,MBT
2.9101717817031165,0.0005902985358424172,0.16038892724586196,16.038892724586194,82,3.3333241720885702,63310.0,69.52285193055106,1273,0.439076229827215,1735995.22,1835995.22,205,0.751219512195122,154,50,15795.183246753242,15.795183246753242,-14806.460000000003,-14.806460000000001,275.34220000000016,-67.27440000000001,MER
1.1047384520182941,0.00022422132170048592,0.05813060719198091,5.813060719198091,0,0.0,0.0,74.80035101993718,2717,0.0891465255349932,201843.49,301843.49,115,0.6869565217391305,79,36,4680.178860759495,4.680178860759495,-4663.62888888889,-4.663628888888891,40.560599999999994,-19.30942,SMC
